date,people_vaccinated,people_fully_vaccinated
2020-12-27,23308,17
2020-12-28,41067,56
2020-12-29,90145,779
2020-12-30,151783,906
2020-12-31,201787,1057
2021-01-01,227524,1068
2021-01-02,274879,1353
2021-01-03,297053,1360
2021-01-04,343573,1413
2021-01-05,395396,1443
2021-01-06,457562,1452
2021-01-07,511697,1461
2021-01-08,573186,1792
2021-01-09,632633,1840
2021-01-10,667281,1849
2021-01-11,734354,1903
2021-01-12,815039,1964
2021-01-13,926461,2161
2021-01-14,1008315,2345
2021-01-15,1097538,3147
2021-01-16,1153577,4165
2021-01-17,1184118,21954
2021-01-18,1250336,37813
2021-01-19,1332782,73820
2021-01-20,1410654,128056
2021-01-21,1474847,169979
2021-01-22,1543032,204630
2021-01-23,1583738,250539
2021-01-24,1609473,272533
2021-01-25,1661452,311738
2021-01-26,1711810,358859
2021-01-27,1762528,416792
2021-01-28,1807615,462213
2021-01-29,1858926,519533
2021-01-30,1893422,573388
2021-01-31,1919228,604750
2021-02-01,1977069,666446
2021-02-02,2041472,732711
2021-02-03,2104806,828514
2021-02-04,2164803,898933
2021-02-05,2232623,975457
2021-02-06,2279655,1028865
2021-02-07,2307800,1054137
2021-02-08,2361018,1110218
2021-02-09,2421243,1183651
2021-02-10,2498297,1260219
2021-02-11,2572136,1327649
2021-02-12,2650613,1404381
2021-02-13,2712257,1449923
2021-02-14,2751986,1475609
2021-02-15,2820872,1531237
2021-02-16,2902885,1587057
2021-02-17,2996528,1643499
2021-02-18,3086761,1694981
2021-02-19,3187005,1749243
2021-02-20,3262951,1785177
2021-02-21,3320220,1813746
2021-02-22,3418970,1873460
2021-02-23,3525827,1933048
2021-02-24,3640760,1991726
2021-02-25,3771128,2049675
2021-02-26,3914338,2115171
2021-02-27,4021702,2155123
2021-02-28,4104676,2179246
2021-03-01,4250938,2228755
2021-03-02,4412269,2280381
2021-03-03,4585708,2350027
2021-03-04,4765893,2412348
2021-03-05,4968731,2480130
2021-03-06,5121807,2528716
2021-03-07,5238293,2562715
2021-03-08,5423851,2614242
2021-03-09,5619618,2668730
2021-03-10,5838462,2734800
2021-03-11,6059665,2795366
2021-03-12,6313685,2866144
2021-03-13,6511802,2915933
2021-03-14,6646921,2951859
2021-03-15,6834808,3010758
2021-03-16,6945006,3078028
2021-03-17,7069236,3157895
2021-03-18,7187026,3232741
2021-03-19,7347420,3315840
2021-03-20,7514457,3369111
2021-03-21,7641755,3407751
2021-03-22,7833758,3483845
2021-03-23,8049590,3566816
2021-03-24,8296171,3654827
2021-03-25,8554812,3734673
2021-03-26,8843895,3823427
2021-03-27,9070154,3885813
2021-03-28,9216179,3938709
2021-03-29,9438243,4028029
2021-03-30,9675251,4122061
2021-03-31,9911634,4225364
2021-04-01,10146662,4318717
2021-04-02,10303684,4388408
2021-04-03,10470674,4454182
2021-04-04,10613590,4507755
2021-04-05,10789411,4580376
2021-04-06,11066532,4676637
2021-04-07,11648890,4773492
2021-04-08,12292394,4863045
2021-04-09,12831732,4951651
2021-04-10,13137660,5016724
2021-04-11,13350111,5066765
2021-04-12,13690645,5143528
2021-04-13,14189548,5216890
2021-04-14,14880547,5299929
2021-04-15,15489015,5370771
2021-04-16,16009930,5445610
2021-04-17,16317629,5502021
2021-04-18,16546746,5540878
2021-04-19,16887596,5601711
2021-04-20,17383722,5663653
2021-04-21,18030878,5736277
2021-04-22,18601021,5803197
2021-04-23,19084019,5870599
2021-04-24,19391893,5929582
2021-04-25,19626240,5977549
2021-04-26,19985079,6051191
2021-04-27,20678439,6141861
2021-04-28,21673853,6269276
2021-04-29,22486860,6402427
2021-04-30,23152941,6540097
2021-05-01,23415567,6615751
2021-05-02,23614294,6682097
2021-05-03,23950807,6799133
2021-05-04,24634061,6960421
2021-05-05,25549672,7190112
2021-05-06,26317627,7408897
2021-05-07,26967924,7643041
2021-05-08,27241119,7797848
2021-05-09,27425783,7900893
2021-05-10,27823548,8094558
2021-05-11,28621584,8380531
2021-05-12,29671447,8744393
2021-05-13,29939809,8905296
2021-05-14,30470171,9134681
2021-05-15,30706418,9299647
2021-05-16,30869748,9421726
2021-05-17,31226684,9628694
2021-05-18,31751944,9987060
2021-05-19,32326640,10525451
2021-05-20,32788550,11015830
2021-05-21,33201368,11458055
2021-05-22,33430685,11719140
2021-05-23,33564932,11881005
2021-05-24,33712190,12064772
2021-05-25,34007116,12447119
2021-05-26,34549536,13153879
2021-05-27,35031365,13785267
2021-05-28,35466199,14324711
2021-05-29,35647988,14582542
2021-05-30,35756796,14767216
2021-05-31,35973632,15130487
2021-06-01,36453717,15711531
2021-06-02,37071036,16431572
2021-06-03,37350863,16836487
2021-06-04,37719928,17361843
2021-06-05,37845305,17672631
2021-06-06,37921444,17902973
2021-06-07,38164400,18313677
2021-06-08,38550553,19019157
2021-06-09,39059699,19953719
2021-06-10,39519797,20735409
2021-06-11,39947909,21427897
2021-06-12,40098679,21736182
2021-06-13,40175967,21952478
2021-06-14,40427883,22387264
2021-06-15,40802108,23079843
2021-06-16,41306306,23984111
2021-06-17,41733096,24718220
2021-06-18,42112554,25347715
2021-06-19,42241936,25647208
2021-06-20,42321538,25875234
2021-06-21,42540863,26274154
